country,iso3,year,ndgain_index,ndgain_vulnerability,ndgain_readiness,events,affected,deaths,damage_usd_nominal,damage_usd_2024
Philippines,PHL,2021,44.3631005150008,0.448997693509986,0.336259703810001,14,12785052,572,1050235000.0,1215807890
Philippines,PHL,2022,45.0874436841896,0.445290563395014,0.347039437078806,12,7928618,609,325471000.0,348863679
Philippines,PHL,2023,45.6051740422682,0.443831296581348,0.355934777426713,15,11286950,132,408156000.0,420194607
Philippines,PHL,2024,,,,18,28665372,514,913110000.0,913110000
Philippines,PHL,2025,,,,16,33245861,621,652000000.0,0
Philippines,PHL,2026,,,,1,645612,7,5000000.0,0
Singapore,SGP,1995,58.3644238423849,0.394789095613341,0.562077572461039,,,,,
Singapore,SGP,1996,59.0200919691955,0.394486907030706,0.574888746414616,,,,,
Singapore,SGP,1997,59.5205830121312,0.393399320791374,0.583810981033997,,,,,
Singapore,SGP,1998,59.6605768257794,0.392943281253516,0.586154817769104,,,,,
Singapore,SGP,1999,60.1471900471797,0.396569679845709,0.599513480789303,,,,,
Singapore,SGP,2000,61.2790824605194,0.399894492391112,0.6254761416015,,,,,
Singapore,SGP,2001,61.2453530078978,0.403470824135805,0.628377884293761,,,,,
Singapore,SGP,2002,61.8648522255241,0.407183625376129,0.644480669886611,,,,,
Singapore,SGP,2003,61.8612795410903,0.405767187552224,0.642992778374031,,,,,
Singapore,SGP,2004,62.4779049117288,0.404682766635647,0.654240864870223,,,,,
Singapore,SGP,2005,62.4829552760438,0.403240522429849,0.652899627950724,,,,,
Singapore,SGP,2006,65.349417941601,0.404425568279833,0.711413927111853,,,,,
Singapore,SGP,2007,66.1845090293822,0.403019850099196,0.72671003068684,,,,,
Singapore,SGP,2008,66.6429874207899,0.403375363355858,0.736235111771656,,,,,
Singapore,SGP,2009,65.9320647425626,0.400840521591031,0.719481816442284,,,,,
Singapore,SGP,2010,67.4487296871679,0.401011430777737,0.749986024521096,,,,,
Singapore,SGP,2011,68.1187884438731,0.402025255584521,0.764401024461982,,,,,
Singapore,SGP,2012,68.5742801722084,0.40132998454803,0.772815587992199,,,,,
Singapore,SGP,2013,69.362907621728,0.397545446070951,0.784803598505511,,,,,
Singapore,SGP,2014,70.6208347437915,0.39478531692656,0.80720201180239,,,,,
Singapore,SGP,2015,70.7527212954634,0.389106947392325,0.804161373301594,,,,,
Singapore,SGP,2016,69.7502033248633,0.38951024555842,0.784514312055686,,,,,
Singapore,SGP,2017,70.0668329680165,0.388897107777909,0.790233767138239,,,,,
Singapore,SGP,2018,70.2374114980836,0.389227492267032,0.793975722228703,,,,,
Singapore,SGP,2019,70.2496927896603,0.39020540402473,0.795199259817937,,,,,
Singapore,SGP,2020,70.4681515652896,0.388143775608997,0.797506806914789,,,,,
Singapore,SGP,2021,70.7356690234368,0.387757294202907,0.802470674671643,,,,,
Singapore,SGP,2022,70.6426458721925,0.388398994532007,0.801251911975856,,,,,
Singapore,SGP,2023,70.5715560176398,0.38869248799521,0.800123608348007,,,,,
Thailand,THA,1995,47.337272312054,0.444020609255219,0.3907660554963,,,,,
Thailand,THA,1996,47.3316723704859,0.445399241334537,0.392032688744254,,,,,
Thailand,THA,1997,47.6423585971987,0.445321843767816,0.39816901571179,,,,,
Thailand,THA,1998,48.065113931312,0.444936749471159,0.406239028097399,,,,,
Thailand,THA,1999,48.2865524498297,0.445156397066487,0.410887446063081,,,,,
Thailand,THA,2000,48.2895124214406,0.445379934658484,0.411170183087296,5,3365020,109,109056000.0,198662352
Thailand,THA,2001,48.3883777124458,0.441385759076854,0.40915331332577,6,465389,189,28500000.0,50490219
Thailand,THA,2002,48.4329351627091,0.438708693189278,0.407367396443461,6,8354124,190,40127000.0,69978571
Thailand,THA,2003,48.2886752225784,0.437069774295799,0.402843278747368,4,112700,9,26400000.0,45017736
Thailand,THA,2004,47.796216251814,0.435389596170798,0.391313921207078,7,583167,8375,1175000000.0,1951387055
Thailand,THA,2005,48.2130547117589,0.434250204168399,0.398511298403576,6,822810,86,658246000.0,1057313257
Thailand,THA,2006,47.8396923971596,0.432459050654636,0.389252898597828,3,2557308,280,34940000.0,54368771
Thailand,THA,2007,47.8263533708539,0.433013844442621,0.389540911859699,5,183000,53,1500000.0,2269354
Thailand,THA,2008,48.0365541522099,0.433524953520546,0.394256036564744,6,11573157,39,27844000.0,40567826
Thailand,THA,2009,48.7260598137102,0.433233625973356,0.407754822247561,1,200000,15,0.0,0
Thailand,THA,2010,49.1426704812032,0.432643762721404,0.415497172345467,2,15453255,258,332000000.0,477606490
Thailand,THA,2011,49.2144390352314,0.43315776057864,0.417446541283268,4,11216126,896,40317000000.0,56224068998
Thailand,THA,2012,49.4838057520833,0.434821973977634,0.4244980890193,2,12235545,0,1200000.0,1639533
Thailand,THA,2013,49.9137370336408,0.43681040822551,0.435085148898327,3,3515254,84,579000000.0,779653819
Thailand,THA,2014,50.827421949434,0.434622864882712,0.451171303871391,8,1150811,93,72000000.0,95404099
Thailand,THA,2015,50.6577150290404,0.435746265201602,0.44890056578241,2,1440,3,3300561000.0,4368249576
Thailand,THA,2016,50.3029298569133,0.435173795677461,0.441232392815728,4,808843,35,145000000.0,189514698
Thailand,THA,2017,50.4220370496839,0.436325205146463,0.444765946140141,6,3819058,150,1308400000.0,1674409043
Thailand,THA,2018,50.8770413663602,0.438095239210679,0.455636066537883,,,,,
Thailand,THA,2019,51.4348655188255,0.43736761495657,0.46606492533308,3,878885,26,0.0,0
Thailand,THA,2020,52.1017985329451,0.435071969016694,0.477107939675596,7,1196084,44,60000000.0,72722262
Thailand,THA,2021,52.2753279589428,0.43431092402032,0.479817483199175,6,958594,16,591000000.0,684173030
Thailand,THA,2022,52.4896366470517,0.434458434402429,0.484251167343462,11,1381745,21,13000000.0,13934353
Thailand,THA,2023,52.7003738303207,0.434860553166205,0.488868029772619,3,271323,6,0.0,0
Thailand,THA,2024,,,,7,781568,165,1114000000.0,1114000000
Thailand,THA,2025,,,,14,5808483,401,15600000000.0,0
Vietnam,VNM,1995,41.4087396657897,0.517533064751055,0.345707858066848,,,,,
Vietnam,VNM,1996,41.5110200671807,0.51623812985403,0.346458531197643,,,,,
Vietnam,VNM,1997,41.5398360769987,0.516120144379668,0.346916865919642,,,,,
Vietnam,VNM,1998,41.6248854428351,0.51489054851456,0.347388257371263,,,,,
Vietnam,VNM,1999,41.7127474601906,0.512875649972541,0.347130599176353,,,,,
Vietnam,VNM,2000,42.0290800258518,0.505260075756312,0.345841676273349,11,5039580,592,291035000.0,530165215
Vietnam,VNM,2001,41.8797349263283,0.504010463349921,0.341605161876488,7,1809090,392,171900000.0,304535742
Vietnam,VNM,2002,41.718340070811,0.503106558810067,0.337473360226287,6,2733616,147,284200000.0,495624136
